subj_id,subjcode,electrode,qual_col,row,Name,TextResp,isCorrect,Timing_1,Confidence
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(1),1,pipe,,0,3.41,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(2),2,train,train,1,2.611,2.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(3),3,balloon,,0,7.1179999999999986,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(4),4,backpack,,0,8.109,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(5),5,headphones,building,0,2.477,3.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(6),6,stroller,,0,12.862,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(7),7,hammer,wrench,0,3.0410000000000004,6.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(8),8,camera,camera,1,2.07,7.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(9),9,airplane,,0,3.77,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(10),10,socks,socks,1,5.085,5.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(11),11,glove,,0,4.4460000000000015,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(12),12,cake,cake,1,3.2260000000000004,4.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(13),13,hairbrush,,0,6.957999999999998,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(14),14,bed,bed,1,1.761,6.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(15),15,boot,man and a child on his back,0,4.875,3.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(16),16,coffeemug,dog,0,2.072,2.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(17),17,armchair,teapot,0,6.4670000000000005,4.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(18),18,guitar,,0,4.0760000000000005,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(19),19,cat,,0,5.5120000000000005,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(20),20,bowtie,,0,2.229,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(21),21,knife,knife,1,1.371,8.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(22),22,binoculars,,0,4.421,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(23),23,rollerblades,roller blades,0,3.196,7.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(24),24,leopard,,0,8.852,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(25),25,handbag,boat,0,4.032,2.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(26),26,motorcycle,,0,2.717,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(27),27,lantern,lantern,1,3.659,5.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(28),28,bike,bicycle,0,2.026,7.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(29),29,cheesegrater,,0,4.928,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(30),30,desk,dog,0,3.197,2.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(31),31,bird,,0,6.151,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(32),32,apple,,0,5.167000000000002,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(33),33,lock,camera,0,2.181,5.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(34),34,car,car,1,2.346,2.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(35),35,crib,old camera,0,1.904,5.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(36),36,camcoder,video camera,0,2.305,4.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(37),37,trophy,bell,0,2.158,4.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(38),38,calculator,,0,4.902,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(39),39,tennisracket,,0,5.461,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(40),40,butterfly,butterfly,1,2.0580000000000003,4.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(41),41,stapler,,0,3.196,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(42),42,sodacan,,0,2.845,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(43),43,palmtree,palmtree,1,6.5760000000000005,5.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(44),44,gift,,0,6.556,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(45),45,bucket,,0,2.519,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(46),46,trumpet,key,0,2.113,6.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(47),47,bill,dollar,0,2.84,8.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(48),48,fish,map,0,3.803,2.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(49),49,bell,,0,4.009,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(50),50,cheese,chair,0,5.908,3.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(51),51,turtle,pineapple,0,5.268,3.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(52),52,axe,,0,6.682,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(53),53,handgun,,0,5.233,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(54),54,dog,,0,2.067,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(55),55,basket,,0,7.817,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(56),56,phone,,0,6.1389999999999985,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(57),57,teddybear,,0,3.829,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(58),58,shoe,shoe,1,,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(59),59,bottle,,0,4.2639999999999985,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(60),60,rabbit,rabbit,1,1.706,6.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(61),61,lamp,,0,7.356,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(62),62,key,,0,2.91,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(63),63,scissors,,0,2.922,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(64),64,candle,,0,7.5710000000000015,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(65),65,watch,,0,4.232,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(66),66,flashlight,flashlight,1,2.6210000000000004,7.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(67),67,fan,dog,0,5.541,3.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(68),68,wineglass,,0,3.634,
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(69),69,microscope,rabbit,0,3.057,3.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(70),70,clock,clock,1,1.413,8.0
R_8nQqGUmR9MT1CTP,WFM101,2,NameResp_TEXT(71),71,lawnmower,,0,4.823,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(1),1,pipe,beach,0,3.0380000000000003,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(2),2,train,piano,0,1.866,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(3),3,balloon,MLKJ,0,2.134,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(4),4,backpack,moped,0,2.559,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(5),5,headphones,rollarcoaster,0,2.48,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(6),6,stroller,,0,3.537,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(7),7,hammer,hammer,1,2.217,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(8),8,camera,camera,1,1.507,7.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(9),9,airplane,,0,1.866,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(10),10,socks,zebra,0,2.3480000000000003,3.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(11),11,glove,man,0,1.696,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(12),12,cake,leaf,0,2.749,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(13),13,hairbrush,grand central,0,2.624,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(14),14,bed,bed,1,1.505,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(15),15,boot,doorway,0,2.513,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(16),16,coffeemug,lobster,0,1.93,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(17),17,armchair,cow,0,1.961,4.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(18),18,guitar,waves,0,3.151,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(19),19,cat,clown,0,1.869,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(20),20,bowtie,bow tie,0,1.639,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(21),21,knife,goose,0,2.894,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(22),22,binoculars,,0,1.715,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(23),23,rollerblades,skateboarder,0,2.091,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(24),24,leopard,blowfish,0,4.17,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(25),25,handbag,handbag,1,1.758,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(26),26,motorcycle,,0,2.807,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(27),27,lantern,lantern,1,1.406,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(28),28,bike,bike,1,1.246,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(29),29,cheesegrater,snow,0,1.7380000000000002,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(30),30,desk,farm,0,1.521,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(31),31,bird,,0,1.364,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(32),32,apple,,0,3.119,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(33),33,lock,camera,0,1.699,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(34),34,car,car,1,2.071,7.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(35),35,crib,crib,1,1.909,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(36),36,camcoder,,0,2.793,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(37),37,trophy,two dogs,0,2.004,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(38),38,calculator,desk,0,1.948,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(39),39,tennisracket,group of people,0,2.307,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(40),40,butterfly,butterfly,1,1.4409999999999998,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(41),41,stapler,,0,1.963,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(42),42,sodacan,,0,1.793,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(43),43,palmtree,rainforest,0,2.8560000000000003,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(44),44,gift,dog,0,1.746,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(45),45,bucket,stove,0,2.169,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(46),46,trumpet,trumpet,1,2.018,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(47),47,bill,money,0,1.548,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(48),48,fish,,0,2.393,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(49),49,bell,dog,0,2.532,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(50),50,cheese,cheese,1,1.61,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(51),51,turtle,,0,4.526,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(52),52,axe,hatchet,0,1.928,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(53),53,handgun,,0,2.3480000000000003,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(54),54,dog,bear,0,2.419,7.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(55),55,basket,stove,0,2.174,2.0
