Name,row
pipe,1
train,2
balloon,3
backpack,4
headphones,5
stroller,6
hammer,7
camera,8
airplane,9
socks,10
glove,11
cake,12
hairbrush,13
bed,14
boot,15
coffeemug,16
armchair,17
guitar,18
cat,19
bowtie,20
knife,21
binoculars,22
rollerblades,23
leopard,24
handbag,25
motorcycle,26
lantern,27
bike,28
cheesegrater,29
desk,30
bird,31
apple,32
lock,33
car,34
crib,35
camcoder,36
trophy,37
calculator,38
tennisracket,39
butterfly,40
sapler,41
sodacan,42
palmtree,43
gift,44
bucket,45
trumpet,46
bill,47
fish,48
bell,49
cheese,50
turtle,51
axe,52
handgun,53
dog,54
basket,55
phone,56
teddybear,57
schoe,58
bottle,59
rabbit,60
lamp,61
key,62
scissors,63
candle,64
watch,65
flashlight,66
fan,67
wineglass,68
microscope,69
clock,70
lawnmower,71
