subj_id,qual_col,measure,row,Name,TextResp,isCorrect
R_8nQqGUmR9MT1CTP,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_0NWkLPKVngfskaV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,beach,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(1),NameResp_TEXT,1,pipe,a race,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_03dyKKqahwimd1z,NameResp_TEXT(1),NameResp_TEXT,1,pipe,restaurant,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(1),NameResp_TEXT,1,pipe,pipe,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(1),NameResp_TEXT,1,pipe,village,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(1),NameResp_TEXT,1,pipe,tuxedo cat,0
R_81i04UQTtFxOXlz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_aflUaQ1v901DTZb,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0
R_8cU5NCG2ysTIeFf,NameResp_TEXT(1),NameResp_TEXT,1,pipe,pipe,1
R_8nQqGUmR9MT1CTP,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1
R_0NWkLPKVngfskaV,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(2),NameResp_TEXT,2,train,titanic,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(2),NameResp_TEXT,2,train,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(2),NameResp_TEXT,2,train,,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(2),NameResp_TEXT,2,train,"a piano, church pipe organ",0
R_03dyKKqahwimd1z,NameResp_TEXT(2),NameResp_TEXT,2,train,bridge,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(2),NameResp_TEXT,2,train,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(2),NameResp_TEXT,2,train,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1
R_4T9SzDwjzOtlmrX,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(2),NameResp_TEXT,2,train,cane,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1
R_3jv8dkv5pkIe4f3,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(2),NameResp_TEXT,2,train,a piano and a black women leaning/laying on top of it (like back in the 70s/80s),0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1
R_81i04UQTtFxOXlz,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1
R_aflUaQ1v901DTZb,NameResp_TEXT(2),NameResp_TEXT,2,train,Piano,0
R_8cU5NCG2ysTIeFf,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0
R_8nQqGUmR9MT1CTP,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_0NWkLPKVngfskaV,NameResp_TEXT(3),NameResp_TEXT,3,balloon,MLKJ,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1
R_1TCKelAGYh94Ppr,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(3),NameResp_TEXT,3,balloon,a cowboy kicking up dust with his vehicle,0
R_03dyKKqahwimd1z,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1
R_4I5pqYdhVgOKFKd,NameResp_TEXT(3),NameResp_TEXT,3,balloon,person's face,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(3),NameResp_TEXT,3,balloon,skull,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(3),NameResp_TEXT,3,balloon,the devil,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(3),NameResp_TEXT,3,balloon,person,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(3),NameResp_TEXT,3,balloon,gold,0
R_81i04UQTtFxOXlz,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0
R_aflUaQ1v901DTZb,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1
R_8cU5NCG2ysTIeFf,NameResp_TEXT(3),NameResp_TEXT,3,balloon,dog and flowers,0
R_8nQqGUmR9MT1CTP,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_0NWkLPKVngfskaV,NameResp_TEXT(4),NameResp_TEXT,4,backpack,moped,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1
R_1TCKelAGYh94Ppr,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(4),NameResp_TEXT,4,backpack,"cars, traffic jam",0
R_03dyKKqahwimd1z,NameResp_TEXT(4),NameResp_TEXT,4,backpack,house,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1
R_9KLkobZ9kYZSzYh,NameResp_TEXT(4),NameResp_TEXT,4,backpack,car seat,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_eFBfDt4acLjjVQh,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack ,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(4),NameResp_TEXT,4,backpack,a city in the night sky,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(4),NameResp_TEXT,4,backpack,person,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1
R_81i04UQTtFxOXlz,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0
R_aflUaQ1v901DTZb,NameResp_TEXT(4),NameResp_TEXT,4,backpack,doorway,0
R_8cU5NCG2ysTIeFf,NameResp_TEXT(4),NameResp_TEXT,4,backpack,train,0
R_8nQqGUmR9MT1CTP,NameResp_TEXT(5),NameResp_TEXT,5,headphones,building,0
R_0NWkLPKVngfskaV,NameResp_TEXT(5),NameResp_TEXT,5,headphones,rollarcoaster,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(5),NameResp_TEXT,5,headphones,city overview,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(5),NameResp_TEXT,5,headphones,houses,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(5),NameResp_TEXT,5,headphones,a town ,0
R_03dyKKqahwimd1z,NameResp_TEXT(5),NameResp_TEXT,5,headphones,house,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(5),NameResp_TEXT,5,headphones,city,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(5),NameResp_TEXT,5,headphones,bridge,0
R_eFBfDt4acLjjVQh,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(5),NameResp_TEXT,5,headphones,House,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(5),NameResp_TEXT,5,headphones,houses/building,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(5),NameResp_TEXT,5,headphones,a group of houses (like you see in Greece) ,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(5),NameResp_TEXT,5,headphones,face,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(5),NameResp_TEXT,5,headphones,narwhal,0
R_81i04UQTtFxOXlz,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0
R_aflUaQ1v901DTZb,NameResp_TEXT(5),NameResp_TEXT,5,headphones,a house,0
R_8cU5NCG2ysTIeFf,NameResp_TEXT(5),NameResp_TEXT,5,headphones,village,0
R_8nQqGUmR9MT1CTP,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0
R_0NWkLPKVngfskaV,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(6),NameResp_TEXT,6,stroller,leaves,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0
