subj_id,qual_col,measure,row,Name,TextResp,isCorrect,RT,Conf
R_8nQqGUmR9MT1CTP,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,3.41,
R_0NWkLPKVngfskaV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,beach,0,3.038,2
R_2tvsWbcRX5R84ap,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,8.85,
R_1TCKelAGYh94Ppr,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(1),NameResp_TEXT,1,pipe,a race,0,28.769,4
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,,
R_03dyKKqahwimd1z,NameResp_TEXT(1),NameResp_TEXT,1,pipe,restaurant,0,11.941,7
R_4I5pqYdhVgOKFKd,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,,
R_1EWCq1k7UFauhNj,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,1.521,
R_81xh6ldt0VxOPHL,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,2.204,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,3.951,
R_4T9SzDwjzOtlmrX,NameResp_TEXT(1),NameResp_TEXT,1,pipe,pipe,1,4.149,4
R_eFBfDt4acLjjVQh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,9.843,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,6.964,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(1),NameResp_TEXT,1,pipe,village,0,8.549,3
R_9NNGTs03HOOrLhz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,3.014,
R_9QAIH8o5XKYkAFD,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,1.842,
R_8hQIw8oM3sZtlUV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,2.097,
R_dbuBKRXlnjouSRD,NameResp_TEXT(1),NameResp_TEXT,1,pipe,tuxedo cat,0,1.712,5
R_81i04UQTtFxOXlz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,7.964,
R_aflUaQ1v901DTZb,NameResp_TEXT(1),NameResp_TEXT,1,pipe,,0,3.89,
R_8cU5NCG2ysTIeFf,NameResp_TEXT(1),NameResp_TEXT,1,pipe,pipe,1,4.372,4
R_8nQqGUmR9MT1CTP,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1,2.611,2
R_0NWkLPKVngfskaV,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0,1.866,8
R_2tvsWbcRX5R84ap,NameResp_TEXT(2),NameResp_TEXT,2,train,titanic,0,5.602,5
R_1TCKelAGYh94Ppr,NameResp_TEXT(2),NameResp_TEXT,2,train,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(2),NameResp_TEXT,2,train,,0,,
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(2),NameResp_TEXT,2,train,"a piano, church pipe organ",0,27.328,7
R_03dyKKqahwimd1z,NameResp_TEXT(2),NameResp_TEXT,2,train,bridge,0,10.22,7
R_4I5pqYdhVgOKFKd,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0,16.567,3
R_1EWCq1k7UFauhNj,NameResp_TEXT(2),NameResp_TEXT,2,train,,0,2.296,
R_81xh6ldt0VxOPHL,NameResp_TEXT(2),NameResp_TEXT,2,train,,0,3.306,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1,1.368,7
R_4T9SzDwjzOtlmrX,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1,2.547,6
R_eFBfDt4acLjjVQh,NameResp_TEXT(2),NameResp_TEXT,2,train,cane,0,1.983,6
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1,2.96,4
R_3jv8dkv5pkIe4f3,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0,7.738,5
R_9NNGTs03HOOrLhz,NameResp_TEXT(2),NameResp_TEXT,2,train,a piano and a black women leaning/laying on top of it (like back in the 70s/80s),0,3.984,7
R_9QAIH8o5XKYkAFD,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0,2.044,2
R_8hQIw8oM3sZtlUV,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0,3.231,5
R_dbuBKRXlnjouSRD,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1,1.884,5
R_81i04UQTtFxOXlz,NameResp_TEXT(2),NameResp_TEXT,2,train,train,1,3.527,7
R_aflUaQ1v901DTZb,NameResp_TEXT(2),NameResp_TEXT,2,train,Piano,0,5.252,5
R_8cU5NCG2ysTIeFf,NameResp_TEXT(2),NameResp_TEXT,2,train,piano,0,4.26,7
R_8nQqGUmR9MT1CTP,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,7.118,
