subj_id,qual_col,TextResp,measure,row,Name
R_8nQqGUmR9MT1CTP,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_0NWkLPKVngfskaV,NameResp_TEXT(1),beach,NameResp_TEXT,1,pipe
R_2tvsWbcRX5R84ap,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_1TCKelAGYh94Ppr,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_5uoQgdmI1psnW97,NameResp_TEXT(1),a race,NameResp_TEXT,1,pipe
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_03dyKKqahwimd1z,NameResp_TEXT(1),restaurant,NameResp_TEXT,1,pipe
R_4I5pqYdhVgOKFKd,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_1EWCq1k7UFauhNj,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_81xh6ldt0VxOPHL,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_9KLkobZ9kYZSzYh,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_4T9SzDwjzOtlmrX,NameResp_TEXT(1),pipe,NameResp_TEXT,1,pipe
R_eFBfDt4acLjjVQh,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_3jv8dkv5pkIe4f3,NameResp_TEXT(1),village,NameResp_TEXT,1,pipe
R_9NNGTs03HOOrLhz,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_9QAIH8o5XKYkAFD,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_8hQIw8oM3sZtlUV,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_dbuBKRXlnjouSRD,NameResp_TEXT(1),tuxedo cat,NameResp_TEXT,1,pipe
R_81i04UQTtFxOXlz,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_aflUaQ1v901DTZb,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_8cU5NCG2ysTIeFf,NameResp_TEXT(1),pipe,NameResp_TEXT,1,pipe
R_9movxfJr3JHx4c5,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_6zZuvVsaXiYicmh,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_7Os34FuyUOKUtAV,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_6tIMcOQsORkQnuB,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(1),black tie event,NameResp_TEXT,1,pipe
R_cAPsFbVcU6FKEpT,NameResp_TEXT(1),boy camping in the forest,NameResp_TEXT,1,pipe
R_cO0dBs5ofX0BOpT,NameResp_TEXT(1),monkey,NameResp_TEXT,1,pipe
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(1),House,NameResp_TEXT,1,pipe
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(1),Skis ,NameResp_TEXT,1,pipe
R_0cuIBoqJYSnYnLT,NameResp_TEXT(1),face,NameResp_TEXT,1,pipe
R_9KSFfd62afsuieF,NameResp_TEXT(1),lion,NameResp_TEXT,1,pipe
R_02GRIQd5MDRenPf,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_bjv98vU4STp6zQx,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_9KB1XzOy6rP7O1D,NameResp_TEXT(1),face,NameResp_TEXT,1,pipe
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(1),village ,NameResp_TEXT,1,pipe
R_eDMsuefXH4Nvbhz,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_cGTSCS88UP99f0x,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_6ujqTETwTzRExX7,NameResp_TEXT(1),A Man,NameResp_TEXT,1,pipe
R_1NfgfYV1GvFsWiN,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_0TiNGME0OVqJO3H,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_0ih7r0MXsn7mCSV,NameResp_TEXT(1),angels pouring water,NameResp_TEXT,1,pipe
R_aWcEn0nidpymQER,NameResp_TEXT(1),court room,NameResp_TEXT,1,pipe
R_9FZPEV6r7ezLOSN,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_6zhc96D1g2EpM2h,NameResp_TEXT(1),a man with a weird face and beard,NameResp_TEXT,1,pipe
R_2a6HPCAFPrB4mIR,NameResp_TEXT(1),,NameResp_TEXT,1,pipe
R_8nQqGUmR9MT1CTP,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_0NWkLPKVngfskaV,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_2tvsWbcRX5R84ap,NameResp_TEXT(2),titanic,NameResp_TEXT,2,train
R_1TCKelAGYh94Ppr,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_5uoQgdmI1psnW97,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(2),"a piano, church pipe organ",NameResp_TEXT,2,train
R_03dyKKqahwimd1z,NameResp_TEXT(2),bridge,NameResp_TEXT,2,train
R_4I5pqYdhVgOKFKd,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_1EWCq1k7UFauhNj,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_81xh6ldt0VxOPHL,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_9KLkobZ9kYZSzYh,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_4T9SzDwjzOtlmrX,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_eFBfDt4acLjjVQh,NameResp_TEXT(2),cane,NameResp_TEXT,2,train
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(2),Train,NameResp_TEXT,2,train
R_3jv8dkv5pkIe4f3,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_9NNGTs03HOOrLhz,NameResp_TEXT(2),a piano and a black women leaning/laying on top of it (like back in the 70s/80s),NameResp_TEXT,2,train
R_9QAIH8o5XKYkAFD,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_8hQIw8oM3sZtlUV,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
