subj_id,qual_col,measure,row,Name,TextResp
R_8nQqGUmR9MT1CTP,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_0NWkLPKVngfskaV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,beach
R_2tvsWbcRX5R84ap,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_1TCKelAGYh94Ppr,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_5uoQgdmI1psnW97,NameResp_TEXT(1),NameResp_TEXT,1,pipe,a race
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_03dyKKqahwimd1z,NameResp_TEXT(1),NameResp_TEXT,1,pipe,restaurant
R_4I5pqYdhVgOKFKd,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_1EWCq1k7UFauhNj,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_81xh6ldt0VxOPHL,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_4T9SzDwjzOtlmrX,NameResp_TEXT(1),NameResp_TEXT,1,pipe,pipe
R_eFBfDt4acLjjVQh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(1),NameResp_TEXT,1,pipe,village
R_9NNGTs03HOOrLhz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_9QAIH8o5XKYkAFD,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_8hQIw8oM3sZtlUV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_dbuBKRXlnjouSRD,NameResp_TEXT(1),NameResp_TEXT,1,pipe,tuxedo cat
R_81i04UQTtFxOXlz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_aflUaQ1v901DTZb,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_8cU5NCG2ysTIeFf,NameResp_TEXT(1),NameResp_TEXT,1,pipe,pipe
R_9movxfJr3JHx4c5,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_6zZuvVsaXiYicmh,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_7Os34FuyUOKUtAV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_6tIMcOQsORkQnuB,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(1),NameResp_TEXT,1,pipe,black tie event
R_cAPsFbVcU6FKEpT,NameResp_TEXT(1),NameResp_TEXT,1,pipe,boy camping in the forest
R_cO0dBs5ofX0BOpT,NameResp_TEXT(1),NameResp_TEXT,1,pipe,monkey
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(1),NameResp_TEXT,1,pipe,House
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(1),NameResp_TEXT,1,pipe,Skis 
R_0cuIBoqJYSnYnLT,NameResp_TEXT(1),NameResp_TEXT,1,pipe,face
R_9KSFfd62afsuieF,NameResp_TEXT(1),NameResp_TEXT,1,pipe,lion
R_02GRIQd5MDRenPf,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_bjv98vU4STp6zQx,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_9KB1XzOy6rP7O1D,NameResp_TEXT(1),NameResp_TEXT,1,pipe,face
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(1),NameResp_TEXT,1,pipe,village 
R_eDMsuefXH4Nvbhz,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_cGTSCS88UP99f0x,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_6ujqTETwTzRExX7,NameResp_TEXT(1),NameResp_TEXT,1,pipe,A Man
R_1NfgfYV1GvFsWiN,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_0TiNGME0OVqJO3H,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_0ih7r0MXsn7mCSV,NameResp_TEXT(1),NameResp_TEXT,1,pipe,angels pouring water
R_aWcEn0nidpymQER,NameResp_TEXT(1),NameResp_TEXT,1,pipe,court room
R_9FZPEV6r7ezLOSN,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_6zhc96D1g2EpM2h,NameResp_TEXT(1),NameResp_TEXT,1,pipe,a man with a weird face and beard
R_2a6HPCAFPrB4mIR,NameResp_TEXT(1),NameResp_TEXT,1,pipe,
R_8nQqGUmR9MT1CTP,NameResp_TEXT(2),NameResp_TEXT,2,train,train
R_0NWkLPKVngfskaV,NameResp_TEXT(2),NameResp_TEXT,2,train,piano
R_2tvsWbcRX5R84ap,NameResp_TEXT(2),NameResp_TEXT,2,train,titanic
