subj_id,qual_col,TextResp,measure,row,Name,AiMatched
R_8nQqGUmR9MT1CTP,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_0NWkLPKVngfskaV,NameResp_TEXT(1),beach,NameResp_TEXT,1,pipe,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_5uoQgdmI1psnW97,NameResp_TEXT(1),a race,NameResp_TEXT,1,pipe,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_03dyKKqahwimd1z,NameResp_TEXT(1),restaurant,NameResp_TEXT,1,pipe,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(1),pipe,NameResp_TEXT,1,pipe,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(1),village,NameResp_TEXT,1,pipe,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(1),tuxedo cat,NameResp_TEXT,1,pipe,0
R_81i04UQTtFxOXlz,NameResp_TEXT(1),,NameResp_TEXT,1,pipe,0
