subj_id,qual_col,row,Name,TextResp,isCorrect
R_8nQqGUmR9MT1CTP,NameResp_TEXT(1),1,pipe,,0
R_0NWkLPKVngfskaV,NameResp_TEXT(1),1,pipe,beach,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(1),1,pipe,,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(1),1,pipe,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(1),1,pipe,a race,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(1),1,pipe,,0
R_03dyKKqahwimd1z,NameResp_TEXT(1),1,pipe,restaurant,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(1),1,pipe,,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(1),1,pipe,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(1),1,pipe,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(1),1,pipe,,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(1),1,pipe,pipe,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(1),1,pipe,,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(1),1,pipe,,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(1),1,pipe,village,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(1),1,pipe,,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(1),1,pipe,,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(1),1,pipe,,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(1),1,pipe,tuxedo cat,0
R_81i04UQTtFxOXlz,NameResp_TEXT(1),1,pipe,,0
R_aflUaQ1v901DTZb,NameResp_TEXT(1),1,pipe,,0
R_8cU5NCG2ysTIeFf,NameResp_TEXT(1),1,pipe,pipe,1
R_9movxfJr3JHx4c5,NameResp_TEXT(1),1,pipe,,0
R_6zZuvVsaXiYicmh,NameResp_TEXT(1),1,pipe,,0
R_7Os34FuyUOKUtAV,NameResp_TEXT(1),1,pipe,,0
R_6tIMcOQsORkQnuB,NameResp_TEXT(1),1,pipe,,0
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(1),1,pipe,black tie event,0
R_cAPsFbVcU6FKEpT,NameResp_TEXT(1),1,pipe,boy camping in the forest,0
R_cO0dBs5ofX0BOpT,NameResp_TEXT(1),1,pipe,monkey,0
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(1),1,pipe,House,0
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(1),1,pipe,Skis ,0
R_0cuIBoqJYSnYnLT,NameResp_TEXT(1),1,pipe,face,0
R_9KSFfd62afsuieF,NameResp_TEXT(1),1,pipe,lion,0
R_02GRIQd5MDRenPf,NameResp_TEXT(1),1,pipe,,0
R_bjv98vU4STp6zQx,NameResp_TEXT(1),1,pipe,,0
R_9KB1XzOy6rP7O1D,NameResp_TEXT(1),1,pipe,face,0
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(1),1,pipe,village ,0
R_eDMsuefXH4Nvbhz,NameResp_TEXT(1),1,pipe,,0
R_cGTSCS88UP99f0x,NameResp_TEXT(1),1,pipe,,0
R_6ujqTETwTzRExX7,NameResp_TEXT(1),1,pipe,A Man,0
R_1NfgfYV1GvFsWiN,NameResp_TEXT(1),1,pipe,,0
R_0TiNGME0OVqJO3H,NameResp_TEXT(1),1,pipe,,0
R_0ih7r0MXsn7mCSV,NameResp_TEXT(1),1,pipe,angels pouring water,0
R_aWcEn0nidpymQER,NameResp_TEXT(1),1,pipe,court room,0
R_9FZPEV6r7ezLOSN,NameResp_TEXT(1),1,pipe,,0
R_6zhc96D1g2EpM2h,NameResp_TEXT(1),1,pipe,a man with a weird face and beard,0
R_2a6HPCAFPrB4mIR,NameResp_TEXT(1),1,pipe,,0
R_8nQqGUmR9MT1CTP,NameResp_TEXT(2),2,train,train,1
R_0NWkLPKVngfskaV,NameResp_TEXT(2),2,train,piano,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(2),2,train,titanic,0
R_1TCKelAGYh94Ppr,NameResp_TEXT(2),2,train,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(2),2,train,,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(2),2,train,"a piano, church pipe organ",0
R_03dyKKqahwimd1z,NameResp_TEXT(2),2,train,bridge,0
R_4I5pqYdhVgOKFKd,NameResp_TEXT(2),2,train,piano,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(2),2,train,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(2),2,train,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(2),2,train,train,1
R_4T9SzDwjzOtlmrX,NameResp_TEXT(2),2,train,train,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(2),2,train,cane,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(2),2,train,train,1
R_3jv8dkv5pkIe4f3,NameResp_TEXT(2),2,train,piano,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(2),2,train,a piano and a black women leaning/laying on top of it (like back in the 70s/80s),0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(2),2,train,piano,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(2),2,train,piano,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(2),2,train,train,1
R_81i04UQTtFxOXlz,NameResp_TEXT(2),2,train,track,0
R_aflUaQ1v901DTZb,NameResp_TEXT(2),2,train,Piano,0
R_8cU5NCG2ysTIeFf,NameResp_TEXT(2),2,train,piano,0
R_9movxfJr3JHx4c5,NameResp_TEXT(2),2,train,train,1
R_6zZuvVsaXiYicmh,NameResp_TEXT(2),2,train,train,1
R_7Os34FuyUOKUtAV,NameResp_TEXT(2),2,train,,0
R_6tIMcOQsORkQnuB,NameResp_TEXT(2),2,train,,0
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(2),2,train,piano,0
R_cAPsFbVcU6FKEpT,NameResp_TEXT(2),2,train,train,1
R_cO0dBs5ofX0BOpT,NameResp_TEXT(2),2,train,piano,0
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(2),2,train,overlooking a neighbor hood from a bridge,0
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(2),2,train,Trombone ,0
R_0cuIBoqJYSnYnLT,NameResp_TEXT(2),2,train,train,1
R_9KSFfd62afsuieF,NameResp_TEXT(2),2,train,bed,0
R_02GRIQd5MDRenPf,NameResp_TEXT(2),2,train,train,1
R_bjv98vU4STp6zQx,NameResp_TEXT(2),2,train,bridge,0
R_9KB1XzOy6rP7O1D,NameResp_TEXT(2),2,train,train,1
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(2),2,train,,0
R_eDMsuefXH4Nvbhz,NameResp_TEXT(2),2,train,,0
R_cGTSCS88UP99f0x,NameResp_TEXT(2),2,train,,0
R_6ujqTETwTzRExX7,NameResp_TEXT(2),2,train,a piano,0
R_1NfgfYV1GvFsWiN,NameResp_TEXT(2),2,train,,0
R_0TiNGME0OVqJO3H,NameResp_TEXT(2),2,train,,0
R_0ih7r0MXsn7mCSV,NameResp_TEXT(2),2,train,a trombone,0
R_aWcEn0nidpymQER,NameResp_TEXT(2),2,train,house,0
R_9FZPEV6r7ezLOSN,NameResp_TEXT(2),2,train,houses,0
R_6zhc96D1g2EpM2h,NameResp_TEXT(2),2,train,pool table,0
R_2a6HPCAFPrB4mIR,NameResp_TEXT(2),2,train,,0
R_8nQqGUmR9MT1CTP,NameResp_TEXT(3),3,balloon,,0
R_0NWkLPKVngfskaV,NameResp_TEXT(3),3,balloon,MLKJ,0
R_2tvsWbcRX5R84ap,NameResp_TEXT(3),3,balloon,balloon,1
R_1TCKelAGYh94Ppr,NameResp_TEXT(3),3,balloon,,0
R_5uoQgdmI1psnW97,NameResp_TEXT(3),3,balloon,,0
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(3),3,balloon,a cowboy kicking up dust with his vehicle,0
R_03dyKKqahwimd1z,NameResp_TEXT(3),3,balloon,balloon,1
R_4I5pqYdhVgOKFKd,NameResp_TEXT(3),3,balloon,person's face,0
R_1EWCq1k7UFauhNj,NameResp_TEXT(3),3,balloon,,0
R_81xh6ldt0VxOPHL,NameResp_TEXT(3),3,balloon,,0
R_9KLkobZ9kYZSzYh,NameResp_TEXT(3),3,balloon,,0
R_4T9SzDwjzOtlmrX,NameResp_TEXT(3),3,balloon,balloon,1
R_eFBfDt4acLjjVQh,NameResp_TEXT(3),3,balloon,,0
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(3),3,balloon,,0
R_3jv8dkv5pkIe4f3,NameResp_TEXT(3),3,balloon,skull,0
R_9NNGTs03HOOrLhz,NameResp_TEXT(3),3,balloon,the devil,0
R_9QAIH8o5XKYkAFD,NameResp_TEXT(3),3,balloon,person,0
R_8hQIw8oM3sZtlUV,NameResp_TEXT(3),3,balloon,,0
R_dbuBKRXlnjouSRD,NameResp_TEXT(3),3,balloon,gold,0
R_81i04UQTtFxOXlz,NameResp_TEXT(3),3,balloon,,0
R_aflUaQ1v901DTZb,NameResp_TEXT(3),3,balloon,balloon,1
R_8cU5NCG2ysTIeFf,NameResp_TEXT(3),3,balloon,dog and flowers,0
R_9movxfJr3JHx4c5,NameResp_TEXT(3),3,balloon,flowers,0
R_6zZuvVsaXiYicmh,NameResp_TEXT(3),3,balloon,,0
R_7Os34FuyUOKUtAV,NameResp_TEXT(3),3,balloon,panda bear,0
R_6tIMcOQsORkQnuB,NameResp_TEXT(3),3,balloon,,0
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(3),3,balloon,Row of seats in a theater,0
R_cAPsFbVcU6FKEpT,NameResp_TEXT(3),3,balloon,person's head from side,0
R_cO0dBs5ofX0BOpT,NameResp_TEXT(3),3,balloon,baby,0
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(3),3,balloon,ghost,0
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(3),3,balloon,,0
R_0cuIBoqJYSnYnLT,NameResp_TEXT(3),3,balloon,jellyfish,0
