subj_id,qual_col,Confidence,row,Name
R_8nQqGUmR9MT1CTP,Confidence(1),,1,pipe
R_0NWkLPKVngfskaV,Confidence(1),2.0,1,pipe
R_2tvsWbcRX5R84ap,Confidence(1),,1,pipe
R_1TCKelAGYh94Ppr,Confidence(1),,1,pipe
R_5uoQgdmI1psnW97,Confidence(1),4.0,1,pipe
R_2aVo1rAUKgNJ8VL,Confidence(1),,1,pipe
R_03dyKKqahwimd1z,Confidence(1),7.0,1,pipe
R_4I5pqYdhVgOKFKd,Confidence(1),,1,pipe
R_1EWCq1k7UFauhNj,Confidence(1),,1,pipe
R_81xh6ldt0VxOPHL,Confidence(1),,1,pipe
R_9KLkobZ9kYZSzYh,Confidence(1),,1,pipe
R_4T9SzDwjzOtlmrX,Confidence(1),4.0,1,pipe
R_eFBfDt4acLjjVQh,Confidence(1),,1,pipe
R_d6Dq6Kyn36MTAJ7,Confidence(1),,1,pipe
R_3jv8dkv5pkIe4f3,Confidence(1),3.0,1,pipe
R_9NNGTs03HOOrLhz,Confidence(1),,1,pipe
R_9QAIH8o5XKYkAFD,Confidence(1),,1,pipe
R_8hQIw8oM3sZtlUV,Confidence(1),,1,pipe
R_dbuBKRXlnjouSRD,Confidence(1),5.0,1,pipe
R_81i04UQTtFxOXlz,Confidence(1),,1,pipe
R_aflUaQ1v901DTZb,Confidence(1),,1,pipe
R_8cU5NCG2ysTIeFf,Confidence(1),4.0,1,pipe
R_9movxfJr3JHx4c5,Confidence(1),,1,pipe
R_6zZuvVsaXiYicmh,Confidence(1),,1,pipe
R_7Os34FuyUOKUtAV,Confidence(1),,1,pipe
R_6tIMcOQsORkQnuB,Confidence(1),,1,pipe
R_e9a4GNsvoZJ49mZ,Confidence(1),2.0,1,pipe
R_cAPsFbVcU6FKEpT,Confidence(1),3.0,1,pipe
R_cO0dBs5ofX0BOpT,Confidence(1),3.0,1,pipe
R_6Yb3oRlkWUQ0xkF,Confidence(1),4.0,1,pipe
R_5A3PjLiZbWfA6Tb,Confidence(1),4.0,1,pipe
R_0cuIBoqJYSnYnLT,Confidence(1),5.0,1,pipe
R_9KSFfd62afsuieF,Confidence(1),3.0,1,pipe
R_02GRIQd5MDRenPf,Confidence(1),,1,pipe
R_bjv98vU4STp6zQx,Confidence(1),,1,pipe
R_9KB1XzOy6rP7O1D,Confidence(1),4.0,1,pipe
R_eX2Q9p9ZqgsYVLv,Confidence(1),8.0,1,pipe
R_eDMsuefXH4Nvbhz,Confidence(1),,1,pipe
R_cGTSCS88UP99f0x,Confidence(1),,1,pipe
R_6ujqTETwTzRExX7,Confidence(1),5.0,1,pipe
R_1NfgfYV1GvFsWiN,Confidence(1),,1,pipe
R_0TiNGME0OVqJO3H,Confidence(1),,1,pipe
R_0ih7r0MXsn7mCSV,Confidence(1),7.0,1,pipe
R_aWcEn0nidpymQER,Confidence(1),2.0,1,pipe
R_9FZPEV6r7ezLOSN,Confidence(1),,1,pipe
R_6zhc96D1g2EpM2h,Confidence(1),7.0,1,pipe
R_2a6HPCAFPrB4mIR,Confidence(1),,1,pipe
R_8nQqGUmR9MT1CTP,Confidence(2),2.0,2,train
R_0NWkLPKVngfskaV,Confidence(2),8.0,2,train
R_2tvsWbcRX5R84ap,Confidence(2),5.0,2,train
R_1TCKelAGYh94Ppr,Confidence(2),,2,train
R_5uoQgdmI1psnW97,Confidence(2),,2,train
R_2aVo1rAUKgNJ8VL,Confidence(2),7.0,2,train
R_03dyKKqahwimd1z,Confidence(2),7.0,2,train
R_4I5pqYdhVgOKFKd,Confidence(2),3.0,2,train
R_1EWCq1k7UFauhNj,Confidence(2),,2,train
R_81xh6ldt0VxOPHL,Confidence(2),,2,train
R_9KLkobZ9kYZSzYh,Confidence(2),7.0,2,train
R_4T9SzDwjzOtlmrX,Confidence(2),6.0,2,train
R_eFBfDt4acLjjVQh,Confidence(2),6.0,2,train
R_d6Dq6Kyn36MTAJ7,Confidence(2),4.0,2,train
