subj_id,qual_col,Timing_1,row,Name
R_8nQqGUmR9MT1CTP,Timing_1(1),3.41,1,pipe
R_0NWkLPKVngfskaV,Timing_1(1),3.0380000000000003,1,pipe
R_2tvsWbcRX5R84ap,Timing_1(1),8.85,1,pipe
R_1TCKelAGYh94Ppr,Timing_1(1),,1,pipe
R_5uoQgdmI1psnW97,Timing_1(1),28.769000000000002,1,pipe
R_2aVo1rAUKgNJ8VL,Timing_1(1),,1,pipe
R_03dyKKqahwimd1z,Timing_1(1),11.940999999999999,1,pipe
R_4I5pqYdhVgOKFKd,Timing_1(1),,1,pipe
R_1EWCq1k7UFauhNj,Timing_1(1),1.521,1,pipe
R_81xh6ldt0VxOPHL,Timing_1(1),2.204,1,pipe
R_9KLkobZ9kYZSzYh,Timing_1(1),3.951,1,pipe
R_4T9SzDwjzOtlmrX,Timing_1(1),4.149,1,pipe
R_eFBfDt4acLjjVQh,Timing_1(1),9.843,1,pipe
R_d6Dq6Kyn36MTAJ7,Timing_1(1),6.9639999999999995,1,pipe
R_3jv8dkv5pkIe4f3,Timing_1(1),8.549,1,pipe
R_9NNGTs03HOOrLhz,Timing_1(1),3.014,1,pipe
R_9QAIH8o5XKYkAFD,Timing_1(1),1.8419999999999999,1,pipe
R_8hQIw8oM3sZtlUV,Timing_1(1),2.097,1,pipe
R_dbuBKRXlnjouSRD,Timing_1(1),1.712,1,pipe
R_81i04UQTtFxOXlz,Timing_1(1),7.9639999999999995,1,pipe
R_aflUaQ1v901DTZb,Timing_1(1),3.89,1,pipe
R_8cU5NCG2ysTIeFf,Timing_1(1),4.372,1,pipe
R_9movxfJr3JHx4c5,Timing_1(1),9.906,1,pipe
R_6zZuvVsaXiYicmh,Timing_1(1),3.7969999999999997,1,pipe
R_7Os34FuyUOKUtAV,Timing_1(1),1.929,1,pipe
R_6tIMcOQsORkQnuB,Timing_1(1),5.078,1,pipe
R_e9a4GNsvoZJ49mZ,Timing_1(1),19.087,1,pipe
R_cAPsFbVcU6FKEpT,Timing_1(1),13.259,1,pipe
R_cO0dBs5ofX0BOpT,Timing_1(1),2.84,1,pipe
R_6Yb3oRlkWUQ0xkF,Timing_1(1),1.746,1,pipe
R_5A3PjLiZbWfA6Tb,Timing_1(1),12.494000000000002,1,pipe
R_0cuIBoqJYSnYnLT,Timing_1(1),3.073,1,pipe
R_9KSFfd62afsuieF,Timing_1(1),3.051,1,pipe
R_02GRIQd5MDRenPf,Timing_1(1),2.74,1,pipe
R_bjv98vU4STp6zQx,Timing_1(1),3.214,1,pipe
R_9KB1XzOy6rP7O1D,Timing_1(1),3.51,1,pipe
R_eX2Q9p9ZqgsYVLv,Timing_1(1),2.64,1,pipe
R_eDMsuefXH4Nvbhz,Timing_1(1),,1,pipe
R_cGTSCS88UP99f0x,Timing_1(1),12.542,1,pipe
R_6ujqTETwTzRExX7,Timing_1(1),5.602,1,pipe
R_1NfgfYV1GvFsWiN,Timing_1(1),,1,pipe
R_0TiNGME0OVqJO3H,Timing_1(1),,1,pipe
R_0ih7r0MXsn7mCSV,Timing_1(1),1.05,1,pipe
R_aWcEn0nidpymQER,Timing_1(1),6.46,1,pipe
R_9FZPEV6r7ezLOSN,Timing_1(1),9.455,1,pipe
R_6zhc96D1g2EpM2h,Timing_1(1),4.303,1,pipe
R_2a6HPCAFPrB4mIR,Timing_1(1),,1,pipe
R_8nQqGUmR9MT1CTP,Timing_1(2),2.611,2,train
R_0NWkLPKVngfskaV,Timing_1(2),1.8659999999999999,2,train
R_2tvsWbcRX5R84ap,Timing_1(2),5.602,2,train
R_1TCKelAGYh94Ppr,Timing_1(2),,2,train
R_5uoQgdmI1psnW97,Timing_1(2),,2,train
R_2aVo1rAUKgNJ8VL,Timing_1(2),27.328000000000003,2,train
R_03dyKKqahwimd1z,Timing_1(2),10.22,2,train
R_4I5pqYdhVgOKFKd,Timing_1(2),16.567,2,train
R_1EWCq1k7UFauhNj,Timing_1(2),2.296,2,train
R_81xh6ldt0VxOPHL,Timing_1(2),3.306,2,train
R_9KLkobZ9kYZSzYh,Timing_1(2),1.368,2,train
R_4T9SzDwjzOtlmrX,Timing_1(2),2.5469999999999997,2,train
R_eFBfDt4acLjjVQh,Timing_1(2),1.983,2,train
R_d6Dq6Kyn36MTAJ7,Timing_1(2),2.96,2,train
R_3jv8dkv5pkIe4f3,Timing_1(2),7.7379999999999995,2,train
R_9NNGTs03HOOrLhz,Timing_1(2),3.984,2,train
R_9QAIH8o5XKYkAFD,Timing_1(2),2.044,2,train
R_8hQIw8oM3sZtlUV,Timing_1(2),3.2310000000000003,2,train
R_dbuBKRXlnjouSRD,Timing_1(2),1.8840000000000001,2,train
R_81i04UQTtFxOXlz,Timing_1(2),3.5269999999999997,2,train
R_aflUaQ1v901DTZb,Timing_1(2),5.252000000000001,2,train
R_8cU5NCG2ysTIeFf,Timing_1(2),4.26,2,train
R_9movxfJr3JHx4c5,Timing_1(2),1.5019999999999998,2,train
R_6zZuvVsaXiYicmh,Timing_1(2),1.7919999999999998,2,train
R_7Os34FuyUOKUtAV,Timing_1(2),2.235,2,train
R_6tIMcOQsORkQnuB,Timing_1(2),4.712,2,train
R_e9a4GNsvoZJ49mZ,Timing_1(2),1.716,2,train
R_cAPsFbVcU6FKEpT,Timing_1(2),1.944,2,train
R_cO0dBs5ofX0BOpT,Timing_1(2),2.451,2,train
R_6Yb3oRlkWUQ0xkF,Timing_1(2),2.8989999999999996,2,train
R_5A3PjLiZbWfA6Tb,Timing_1(2),14.304,2,train
R_0cuIBoqJYSnYnLT,Timing_1(2),1.423,2,train
R_9KSFfd62afsuieF,Timing_1(2),2.7319999999999998,2,train
R_02GRIQd5MDRenPf,Timing_1(2),3.245,2,train
R_bjv98vU4STp6zQx,Timing_1(2),4.315,2,train
R_9KB1XzOy6rP7O1D,Timing_1(2),3.739,2,train
R_eX2Q9p9ZqgsYVLv,Timing_1(2),2.419,2,train
R_eDMsuefXH4Nvbhz,Timing_1(2),,2,train
R_cGTSCS88UP99f0x,Timing_1(2),,2,train
R_6ujqTETwTzRExX7,Timing_1(2),1.785,2,train
R_1NfgfYV1GvFsWiN,Timing_1(2),,2,train
R_0TiNGME0OVqJO3H,Timing_1(2),,2,train
R_0ih7r0MXsn7mCSV,Timing_1(2),1.825,2,train
